 Total new objects: 3207143

count   	exec(ms)
--------	--------	------------------------------
........18	.........0		java.awt.BorderLayout
........16	.........0		jalview.datamodel.features.FeatureAttributes.AttributeData
........15	.........5		javax.swing.JPanel
........15	.........0		javax.swing.JComponent$2
........14	.......183		jalview.datamodel.Alignment
........14	.........8		jalview.datamodel.HiddenColumns
........14	.........1		java.util.LinkedList.ListItr
........14	.........1		jalview.schemes.JalviewColourScheme
........14	.........0		jalview.gui.ColourMenuHelper$3
........14	.........0		jalview.datamodel.HiddenSequences
........13	.........1		java.util.LinkedHashMap
........13	.........1		jalview.util.ReverseListIterator
........12	.........0		java.awt.AlphaComposite
........11	.........0		jalview.jbgui.GAlignFrame$1
........10	.........0		java.util.BitSet
........10	.........0		java.awt.geom.Rectangle2D.Float
........10	.........0		java.awt.Color[]
.........9	.........1		java.util.LinkedHashMap.LinkedEntrySet
.........9	.........0		java.util.LinkedHashMap.LinkedEntryIterator
.........8	.........1		java.util.Formatter.FormatSpecifier
.........8	.........0		java.util.Formatter.FixedString
.........8	.........0		java.awt.Font
.........8	.........0		com.stevesoft.pat.Pthings
.........7	.........0		javax.swing.text.Segment
.........7	.........0		java.util.concurrent.ConcurrentHashMap.HashEntry
.........7	.........0		java.awt.event.ComponentEvent
.........7	.........0		com.stevesoft.pat.Bracket
.........6	.........0		swingjs.JSFontMetrics
.........6	.........0		javax.swing.SizeRequirements[]
.........6	.........0		javax.swing.DefaultBoundedRangeModel
.........6	.........0		java.util.Formatter.FormatString[]
.........6	.........0		java.util.AbstractList.Itr
.........6	.........0		jalview.datamodel.Range
.........6	.........0		com.stevesoft.pat.SubMark
.........6	.........0		com.stevesoft.pat.Range
.........6	.........0		com.stevesoft.pat.OrMark
.........6	.........0		com.stevesoft.pat.FastMulti
.........5	.........1		swingjs.JSGraphics2D
.........5	.........0		sun.java2d.StateTrackableDelegate
.........5	.........0		javax.swing.event.InternalFrameEvent
.........5	.........0		java.awt.RenderingHints
.........5	.........0		jalview.renderer.ResidueShader
.........5	.........0		Boolean
.........4	.........2		javax.swing.JLabel
.........4	.........1		java.util.concurrent.ConcurrentHashMap
.........4	.........1		jalview.analysis.AnnotationSorter
.........4	.........0		sun.java2d.StateTrackable.State
.........4	.........0		javax.swing.JScrollBar.ModelListener
.........4	.........0		java.util.concurrent.ConcurrentHashMap.Segment[]
.........4	.........0		java.awt.geom.RectIterator
.........4	.........0		java.awt.event.AdjustmentEvent
.........4	.........0		jalview.ext.ensembl.EnsemblSeqProxy.EnsemblSeqType
.........4	.........0		jalview.analysis.AnnotationSorter$3
.........4	.........0		jalview.analysis.AnnotationSorter$2
.........4	.........0		jalview.analysis.AnnotationSorter$1
.........4	.........0		com.stevesoft.pat.End
.........4	........-2		jalview.datamodel.Annotation[]
.........3	........81		java.awt.image.BufferedImage
.........3	.........9		java.awt.image.DataBufferInt
.........3	.........5		java.awt.image.DirectColorModel
.........3	.........0		swingjs.JSToolkit$1
.........3	.........0		sun.font.FontDesignMetrics.KeyReference
.........3	.........0		sun.font.FontDesignMetrics
.........3	.........0		javax.swing.ButtonGroup
.........3	.........0		java.util.regex.Matcher
.........3	.........0		java.util.Collections.SynchronizedSet
.........3	.........0		java.awt.image.SinglePixelPackedSampleModel
.........3	.........0		java.awt.GridLayout
.........3	.........0		jalview.schemes.NucleotideColourScheme
.........3	.........0		jalview.renderer.ScaleRenderer
.........3	.........0		jalview.gui.AnnotationPanel.DragMode
.........3	.........0		jalview.datamodel.features.FeatureAttributes.Datatype
.........3	.........0		jalview.datamodel.VisibleContigsIterator
.........3	.........0		jalview.datamodel.StartRegionIterator
.........3	.........0		jalview.analysis.AnnotationSorter.SequenceAnnotationOrder
.........2	.........8		javax.swing.JScrollBar
.........2	.........7		javax.swing.JScrollPane.ScrollBar
.........2	.........7		javax.swing.JProgressBar
.........2	.........2		java.lang.IndexOutOfBoundsException
.........2	.........2		com.stevesoft.pat.Regex
.........2	.........1		jalview.datamodel.AlignmentAnnotation
.........2	.........0		javax.swing.text.AbstractDocument.DefaultDocumentEvent
.........2	.........0		javax.swing.event.UndoableEditEvent
.........2	.........0		javax.swing.border.LineBorder
.........2	.........0		javax.swing.JProgressBar.ModelListener
.........2	.........0		java.util.LinkedHashMap.LinkedValues
.........2	.........0		java.util.LinkedHashMap.LinkedValueIterator
.........2	.........0		java.util.IdentityHashMap.KeyIterator
.........2	.........0		java.util.Hashtable.KeySet
.........2	.........0		java.util.Collections.SynchronizedCollection
.........2	.........0		java.util.Collections.SingletonList
.........2	.........0		java.util.Collections$1
.........2	.........0		java.util.ArrayDeque
.........2	.........0		java.lang.Thread
.........2	.........0		java.lang.StackTraceElement[]
.........2	.........0		java.awt.geom.Path2D.Float.CopyIterator
.........2	.........0		java.awt.geom.Path2D.Float
.........2	.........0		java.awt.event.ActionEvent
.........2	.........0		java.awt.Container
.........2	.........0		jalview.util.IntRangeComparator
.........2	.........0		jalview.io.SequenceAnnotationReport
.........2	.........0		jalview.gui.AlignmentPanel[]
.........2	.........0		jalview.ext.ensembl.EnsemblSequenceFetcher.EnsemblFeatureType[]
.........2	.........0		jalview.ext.ensembl.EnsemblLookup
.........2	.........0		jalview.datamodel.features.RangeComparator
.........2	.........0		jalview.datamodel.SearchResults
.........2	.........0		jalview.datamodel.AlignmentAnnotation[]
.........2	.........0		jalview.controller.AlignViewController
.........2	.........0		com.stevesoft.pat.patInf
.........2	.........0		com.stevesoft.pat.Rthings
.........2	.........0		com.stevesoft.pat.Or
.........2	.........0		com.stevesoft.pat.NullPattern
.........1	.....14506		jalview.gui.AlignFrame
.........1	......1341		jalview.gui.AlignViewport
.........1	.......249		jalview.gui.AlignmentPanel
.........1	........85		jalview.gui.SeqPanel
.........1	........84		jalview.schemes.ColourSchemes
.........1	........53		jalview.gui.SeqCanvas
.........1	........26		jalview.gui.IdPanel
.........1	........13		javax.swing.JTabbedPane
.........1	........11		jalview.io.FileFormats
.........1	........10		jalview.gui.FeatureRenderer
.........1	.........9		javax.swing.JScrollPane
.........1	.........9		javax.swing.JInternalFrame.JDesktopIcon
.........1	.........8		jalview.datamodel.ColumnSelection.IntList
.........1	.........8		jalview.datamodel.ColumnSelection
.........1	.........7		sun.awt.image.SunWritableRaster$1
.........1	.........7		jalview.gui.AnnotationPanel
.........1	.........5		javax.swing.JToolTip
.........1	.........4		jalview.jbgui.GAlignFrame$72
.........1	.........3		jalview.gui.SequenceRenderer
.........1	.........3		jalview.ext.ensembl.EnsemblLookup$1
.........1	.........2		javax.swing.JRootPane
.........1	.........2		jalview.io.gff.SequenceOntologyLite
.........1	.........2		jalview.gui.ViewSelectionMenu
.........1	.........1		swingjs.JSKeyEvent
.........1	.........1		javax.swing.text.GapContent.RemoveUndo
.........1	.........1		javax.swing.JViewport
.........1	.........1		javax.swing.JMenuBar
.........1	.........1		jalview.util.LinkedIdentityHashSet$1
.........1	.........1		jalview.gui.ScalePanel
.........1	.........1		jalview.gui.IdwidthAdjuster
.........1	.........1		jalview.gui.IdCanvas
.........1	.........1		jalview.gui.AnnotationLabels
.........1	.........0		swingjs.plaf.Resizer
.........1	.........0		swingjs.plaf.LazyActionMap
.........1	.........0		swingjs.plaf.JSTabbedPaneUI.TabbedPaneLayout
.........1	.........0		swingjs.plaf.JSTabbedPaneUI.Handler
.........1	.........0		swingjs.plaf.JSScrollPaneUI.Handler
.........1	.........0		swingjs.plaf.JSMenuBarUI.Handler
.........1	.........0		swingjs.plaf.JSInternalFrameUI.Handler
.........1	.........0		swingjs.plaf.DefaultMenuLayout
.........1	.........0		swingjs.JSMouse
.........1	.........0		swingjs.JSFrameViewer
.........1	.........0		sun.java2d.StateTrackable.State[]
.........1	.........0		javax.swing.text.GapContent.UndoPosRef
.........1	.........0		javax.swing.text.GapContent.InsertUndo
.........1	.........0		javax.swing.plaf.basic.BasicBorders.MarginBorder
.........1	.........0		javax.swing.ScrollPaneLayout.UIResource
.........1	.........0		javax.swing.JViewport.ViewListener
.........1	.........0		javax.swing.JTabbedPane.ModelListener
.........1	.........0		javax.swing.JRootPane.RootLayout
.........1	.........0		javax.swing.JRootPane$1
.........1	.........0		javax.swing.JLayeredPane
.........1	.........0		javax.swing.JComponent.IntVector
.........1	.........0		javajs.util.AjaxURLStreamHandler
.........1	.........0		javajs.api.JSFunction[]
.........1	.........0		java.util.concurrent.locks.ReentrantReadWriteLock.WriteLock
.........1	.........0		java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock
.........1	.........0		java.util.concurrent.locks.ReentrantReadWriteLock
.........1	.........0		java.util.concurrent.ConcurrentHashMap.KeySet
.........1	.........0		java.util.concurrent.ConcurrentHashMap.KeyIterator
.........1	.........0		java.util.LinkedHashMap.LinkedKeySet
.........1	.........0		java.util.LinkedHashMap.LinkedKeyIterator
.........1	.........0		java.util.Hashtable.ValueCollection
.........1	.........0		java.util.Hashtable.EntrySet
.........1	.........0		java.util.Collections.UnmodifiableRandomAccessList
.........1	.........0		java.util.Collections.SynchronizedMap
.........1	.........0		java.util.Collections.EmptyIterator
.........1	.........0		java.util.Collections.EmptyEnumeration
.........1	.........0		java.lang.Thread[]
.........1	.........0		java.awt.event.WindowEvent
.........1	.........0		java.awt.event.FocusEvent
.........1	.........0		java.awt.dnd.DropTargetContext
.........1	.........0		java.awt.dnd.DropTarget
.........1	.........0		java.awt.color.ColorSpace
.........1	.........0		java.awt.Rectangle[]
.........1	.........0		java.awt.LightweightDispatcher
.........1	.........0		jalview.workers.ConsensusThread
.........1	.........0		jalview.workers.AlignCalcManager
.........1	.........0		jalview.viewmodel.styles.ViewStyle
.........1	.........0		jalview.viewmodel.seqfeatures.FeaturesDisplayed
.........1	.........0		jalview.viewmodel.ViewportRanges
.........1	.........0		jalview.util.LinkedIdentityHashSet
.........1	.........0		jalview.schemes.JalviewColourScheme[]
.........1	.........0		jalview.schemes.Consensus[]
.........1	.........0		jalview.renderer.ResidueColourFinder
.........1	.........0		jalview.renderer.AnnotationRenderer
.........1	.........0		jalview.jbgui.GAlignFrame$99
.........1	.........0		jalview.jbgui.GAlignFrame$98
.........1	.........0		jalview.jbgui.GAlignFrame$97
.........1	.........0		jalview.jbgui.GAlignFrame$96
.........1	.........0		jalview.jbgui.GAlignFrame$95
.........1	.........0		jalview.jbgui.GAlignFrame$94
.........1	.........0		jalview.jbgui.GAlignFrame$93
.........1	.........0		jalview.jbgui.GAlignFrame$92
.........1	.........0		jalview.jbgui.GAlignFrame$91
.........1	.........0		jalview.jbgui.GAlignFrame$90
.........1	.........0		jalview.jbgui.GAlignFrame$9
.........1	.........0		jalview.jbgui.GAlignFrame$89
.........1	.........0		jalview.jbgui.GAlignFrame$88
.........1	.........0		jalview.jbgui.GAlignFrame$87
.........1	.........0		jalview.jbgui.GAlignFrame$86
.........1	.........0		jalview.jbgui.GAlignFrame$85
.........1	.........0		jalview.jbgui.GAlignFrame$84
.........1	.........0		jalview.jbgui.GAlignFrame$83
.........1	.........0		jalview.jbgui.GAlignFrame$82
.........1	.........0		jalview.jbgui.GAlignFrame$81
.........1	.........0		jalview.jbgui.GAlignFrame$80
.........1	.........0		jalview.jbgui.GAlignFrame$8
